Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2023-04-30,NEPSE,1889.41,1890.34,1867.73,1870.65,-1.01 %,"954,322,377.94"
2023-04-27,NEPSE,1892.94,1895.17,1880.25,1889.73,-0.12 %,"739,650,247.50"
2023-04-26,NEPSE,1907.54,1913.28,1888.89,1892.0,-0.72 %,"847,028,219.41"
2023-04-25,NEPSE,1887.3,1905.73,1885.17,1905.68,0.92 %,"885,578,270.76"
2023-04-24,NEPSE,1885.77,1891.87,1875.14,1888.32,0.14 %,"751,330,393.70"
2023-04-23,NEPSE,1904.94,1906.66,1881.15,1885.6,-0.99 %,"828,534,036.34"
2023-04-20,NEPSE,1918.49,1928.76,1902.15,1904.4,-0.82 %,"983,367,311.00"
2023-04-19,NEPSE,1903.36,1924.4,1903.28,1920.12,0.79 %,"872,141,116.12"
2023-04-18,NEPSE,1905.96,1911.51,1892.82,1904.98,-0.16 %,"870,448,151.88"
2023-04-17,NEPSE,1931.84,1937.65,1904.39,1908.04,-1.22 %,"920,078,571.12"
2023-04-16,NEPSE,1934.51,1945.05,1918.52,1931.68,-0.14 %,"974,599,061.51"
2023-04-13,NEPSE,1973.09,1981.87,1928.93,1934.47,-1.48 %,"1,653,334,665.77"
2023-04-12,NEPSE,1871.46,1963.89,1871.46,1963.55,4.93 %,"1,976,076,732.34"
2023-04-11,NEPSE,1845.65,1872.11,1844.41,1871.33,1.48 %,"945,249,179.36"
2023-04-10,NEPSE,1837.65,1851.49,1833.08,1844.02,0.30 %,"911,976,049.12"
2023-04-09,NEPSE,1867.47,1869.43,1833.68,1838.48,-1.52 %,"1,159,448,411.72"
2023-04-06,NEPSE,1875.88,1889.07,1863.66,1866.79,-0.44 %,"920,686,094.33"
2023-04-05,NEPSE,1866.83,1878.77,1857.54,1875.07,0.45 %,"816,046,790.00"
2023-04-04,NEPSE,1872.65,1880.46,1856.35,1866.68,-0.28 %,"917,610,296.04"
2023-04-03,NEPSE,1888.61,1892.03,1865.96,1871.88,-0.88 %,"920,249,011.54"
2023-04-02,NEPSE,1910.49,1928.66,1883.2,1888.55,-1.05 %,"1,207,122,600.13"
